No,Category,Seller ~ Barang,Terjual,Price,Omzet
11,kecantikan,supplierkosmetik~cream-sari-new-pack,14000,81000,1134000000
12,kecantikan,supplierkosmetik~nose-up-termurah,14000,4000,56000000
13,kecantikan,chica~shiseido-naturgo-mud-mask,419000,999,418581000
14,kecantikan,supplierkosmetik~cetakan-alis,23000,3400,78200000
15,kecantikan,supplierkosmetik~serum-gold-cv-jaya-mandiri-ori,32000,6200,198400000
16,kecantikan,jakartakosmetik~paket-kojic-body-pkb,10000,20500,205000000
17,kecantikan,supplierkosmetik~lips-tattoo-wow-monomola-korea-tato-bibir-lip-tatto,13000,15000,195000000
18,kecantikan,jakartakosmetik~meilibahenling-penghilang-bekas-luka,11000,10000,110000000
19,kecantikan,supplierkosmetik~sammy-whitening-body-lotion-sami-lotion-pemutih-body-lotion-korea,11000,16500,181500000
20,kecantikan,jakartakosmetik~lip-tint-odbo-murmerrr,16000,6500,104000000
21,kecantikan,jakartakosmetik~nose-up-pemancung-hidung,11000,3500,38500000
22,kecantikan,supplierkosmetik~red-pome-lotion-300-gr,11000,16000,176000000
23,kecantikan,jakartakosmetik~serum-gold-whitening-harga-toppp,19000,6300,119700000
24,kecantikan,supplierkosmetik~baby-lips,15000,5700,85500000
25,kecantikan,supplierkosmetik~dr-susan,11000,14000,154000000
26,kecantikan,cosmecenter~bubble-pack-packing-tambahan,6300,2000,12600000
27,kecantikan,jakartakosmetik~golden-under-arm-putih-dalam-10-hari-kulit-ketiak-kencang,9700,8000,77600000
28,kecantikan,jakartakosmetik~dr-susan,9400,14000,131600000
29,kecantikan,marieshop~plastik-bubble-1,7800,2000,15600000
30,kecantikan,jakartakosmetik~masker-bibir-lip-mask-collagen-harga-galau,36000,1700,61200000
1,kesehatan,supplierkosmetik~body-slim-herbal-new-packingdijamin-orilulus-tracking,45000,27000,1215000000
2,kesehatan,supplierkosmetik~crystal-x-1,20000,69000,1380000000
3,kesehatan,jakartakosmetik~crystal-x-1,15000,64000,960000000
4,kesehatan,jakartakosmetik~acai-berry,18000,12500,225000000
5,kesehatan,supplierkosmetik~acaiberry,18000,17000,306000000
6,kesehatan,jakartakosmetik~minyak-bulus,12000,8000,96000000
7,kesehatan,tokohassyifa~paket-madu-penyubur-kandungan-al-mabruroh-suamiistri,7100,64000,454400000
8,kesehatan,supplierkosmetik~serum-collagen-vit-c,22000,5000,110000000
9,kesehatan,supplierkosmetik~samyunwan-obat-penggemuk-herbal-untuk-menambah-nafsu-makan,13000,15500,201500000
10,kesehatan,supplierkosmetik~glucogen-per-sachet,71000,21200,1505200000
11,kesehatan,supplierkosmetik~meilibahenling-meili-meilibanhenling-penghilang-bekas-luka-seketika,7500,11000,82500000
12,kesehatan,supplierkosmetik~serum-gold-whitening-collagen-vit-c-vit-e,16000,7500,120000000
13,kesehatan,jakartakosmetik~whitelight-pemutih-gigi-murahhhhhhhhhhhhhhhhhhhh,6400,23000,147200000
14,kesehatan,rejekishop~gluta-drink-original,18000,29000,522000000
15,kesehatan,jakartakosmetik~serum-vitamin-c-murrahhhhhhhh,9900,4900,48510000
16,kesehatan,supplierkosmetik~gluta-drink-original,7500,30000,225000000
17,kesehatan,jakartakosmetik~growup-peninggi-badan,5600,22500,126000000
18,kesehatan,jakartakosmetik~slimpatch-koyo-pelangsing-murahh,14000,6000,84000000
19,kesehatan,rumahcantiksandy~bsh-body-slim-herbal-new-segel-bisa-di-track-terdaftar-di-website,9000,31999,287991000
20,kesehatan,supplierkosmetik~grow-up,5500,23000,126500000
21,kesehatan,supplierkosmetik~wsc-biolo-world-slimming-capsule-wootekh-original,5900,102000,601800000
22,kesehatan,suplemenmurah~glucogen-25-sachet,4000,520000,2080000000
23,kesehatan,pabrikwootekh~wootekh-biolo-wsc-world-slimming-capsule,8100,170000,1377000000
24,kesehatan,supplierkosmetik~caviar-shampoo-shampo-kuda,4800,22000,105600000
25,kesehatan,qaonline~propolis-melia-box-isi-7-botol,7000,170000,1190000000
26,kesehatan,supplierkosmetik~acai-berry-a-slimming-whitening-scrub,5900,14500,85550000
27,kesehatan,supplierkosmetik~baru-new-packing-wsc-biolo-world-slimming-capsule-woo-tech,5800,155000,899000000
28,kesehatan,chica~grow-up,8400,21999,184791600
29,kesehatan,jakartakosmetik~teh-peluntur-lemak-tpl,5100,11000,56100000
30,kesehatan,chica~sam-yun-wan-penggemuk-badan,14000,14500,203000000
1,rumah-tangga,rejekishop~riddex-pest-as-seen-on-tv-china,5000,24000,120000000
2,rumah-tangga,miraclestore~kotak-sepatu-transparan-color,18000,8100,145800000
3,rumah-tangga,ramayanagrosir~kotak-sepatu-warna-warni-transparan,14000,8000,112000000
4,rumah-tangga,radysa~hso-hanging-shoe-organizer,1800,44999,80998200
5,rumah-tangga,radysa~hbo-hanging-bag-organizer,1800,54999,98998200
6,rumah-tangga,rejekishop~dispenser-odol-dan-sikat-gigi,2500,28000,70000000
7,rumah-tangga,modjo13~cartridge-filter-air-water-filter-10-nano,7500,8000,60000000
8,rumah-tangga,felixshop~tirai-benang-cantik-motif-love,2200,35000,77000000
9,rumah-tangga,jaco-shop~grosir-fix-it-pro-pen-ampuh-menghilangkan-noda-untuk-almunium,2100,11000,23100000
10,rumah-tangga,watiolshop~packing-tambahan-bubble-wrap,1300,2500,3250000
11,rumah-tangga,rejekishop~ez-jet-water-cannon,1100,48000,52800000
12,rumah-tangga,tokogrosindo~mesin-jahit-portable-mini-fhsm-202-new-versi-ada-tambahan-lampunya,820,175000,143500000
13,rumah-tangga,multistore12~moody-clock-jam-kubus-polos-1,3200,26000,83200000
14,rumah-tangga,lapaklaris~filter-air-zernii-filter-kran-air,1900,32000,60800000
15,rumah-tangga,miraclestore~kotak-sepatu-transparan-polosclear,7500,8100,60750000
16,rumah-tangga,bestshopgrosir~dispenser-odol-toothpaste-dispenser-brush-set-white-pasta-gigi-dan-tempat-sikat-gigi-dispencer-tooth-paste,1400,29000,40600000
17,rumah-tangga,rejekishop~tritan-bottle-bpa-free-with-fruit,1800,35000,63000000
18,rumah-tangga,jaco-shop~tirai-pintu-magnet-anti-nyamuk,957,40000,38280000
19,rumah-tangga,rejekishop~tirai-pintu-magnet-anti-nyamuk-magnetic-curtain,1600,30000,48000000
20,rumah-tangga,rejekishop~magic-mesh,1100,28000,30800000
21,rumah-tangga,centrogrosir~sofa-kursi-tiup-pompa-balon-angin-udara-anak-karakter-unyu-angry-bird-hello-kitty-doraemon-minnion-dll,1600,39700,63520000
22,rumah-tangga,gexpo~riddex-pest-repeller-pengusir-tikus-kecoa-nyamuk,938,35000,32830000
23,rumah-tangga,grosirecer~mesin-jahit-tangan-mini-stapless-baju-celana-denim-barang-unik-china-reseller-dropship-benang-garmen-tekstil-reseller-dropshi,1300,8000,10400000
24,rumah-tangga,centrogrosir~1-kg-4-pcs-tirai-pintu-magnet-anti-nyamuk-magnetic-curtain-magic-mesh,1500,29999,44998500
25,rumah-tangga,bestshopgrosir~tirai-pintu-magnet-anti-nyamuk-magnetic-curtain-magic-mesh-pengusir,1200,29500,35400000
26,rumah-tangga,ramayanagrosir~plastik-transparan-pelindung-baju-dari-debu,12000,1600,19200000
27,rumah-tangga,lotusbaru~buble-packing,518,2000,1036000
28,rumah-tangga,jenjenshop~gembok-alarm,788,62000,48856000
29,rumah-tangga,radysa~hjo-maxi-hijab-organizer-maxi,488,69999,34159512
